osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
302599,2300101,Q1796441,Abaiara,CE,180.68,8,0
302505,2300150,Q1808379,Acarape,CE,155.46,9,2
302500,2300200,Q1796706,Acaraú,CE,842.27,29,2
302627,2300309,Q544694,Acopiara,CE,2264.68,28,1
302486,2300408,Q641440,Aiuaba,CE,2439.08,8,1
302576,2300507,Q2027670,Alcântaras,CE,138.46,5,0
302606,2300606,Q2021103,Altaneira,CE,73.57,7,0
302609,2300705,Q2021254,Alto Santo,CE,1354.78,44,2
302613,2300754,Q947378,Amontada,CE,1180.31,31,1
302573,2300804,Q2021007,Antonina do Norte,CE,258.2,21,0
302494,2300903,Q2028851,Apuiarés,CE,544.86,10,0
302563,2301000,Q1794121,Aquiraz,CE,482.53,172,11
302612,2301109,Q1754397,Aracati,CE,1225.87,102,8
302495,2301208,Q2289917,Aracoiaba,CE,655.75,18,1
302454,2301257,Q2020998,Ararendá,CE,343.29,12,0
302601,2301307,Q2021237,Araripe,CE,1100.24,8,1
302592,2301406,Q2013968,Aratuba,CE,111.86,6,0
302482,2301505,Q952686,Arneiroz,CE,1066.98,18,0
302520,2301604,Q1808367,Assaré,CE,1117.45,29,1
302483,2301703,Q2289941,Aurora,CE,885.55,16,1
302594,2301802,Q1808481,Baixio,CE,146.05,11,0
302484,2301851,Q1945041,Banabuiú,CE,1080.46,11,1
302456,2301901,Q602143,Barbalha,CE,596.07,96,1
302497,2301950,Q2013899,Barreira,CE,246.04,0,1
302464,2302008,Q2028645,Barro,CE,708.55,19,0
302469,2302057,Q2020987,Barroquinha,CE,384.55,33,1
302605,2302107,Q2021082,Baturité,CE,309.21,26,1
302521,2302206,Q2028035,Beberibe,CE,1616.31,61,1
302615,2302305,Q2021089,Bela Cruz,CE,841.79,4,1
302619,2302404,Q1808337,Boa Viagem,CE,2840.99,35,3
302560,2302503,Q2027070,Brejo Santo,CE,659.87,14,2
302510,2302602,Q1807057,Camocim,CE,1126.13,32,1
302538,2302701,Q1811948,Campos Sales,CE,1080.92,21,1
302626,2302800,Q1008278,Canindé,CE,3225.38,54,2
302499,2302909,Q2021203,Capistrano,CE,222.81,3,1
302508,2303006,Q2027136,Caridade,CE,845.04,27,1
302583,2303105,Q2021245,Cariré,CE,757.38,56,1
302463,2303204,Q2028263,Caririaçu,CE,624.04,14,0
302638,2303303,Q1811382,Cariús,CE,1058.83,0,1
302540,2303402,Q2028395,Carnaubal,CE,369.91,9,1
302509,2303501,Q787864,Cascavel,CE,837.67,79,1
302633,2303600,Q2347628,Catarina,CE,486.23,2,1
302496,2303659,Q2027151,Catunda,CE,790.31,8,0
302624,2303709,Q817233,Caucaia,CE,1227.64,480,26
302625,2303808,Q2027857,Cedro,CE,726.26,23,1
302478,2303907,Q2028829,Chaval,CE,238.05,9,0
302467,2303931,Q2047506,Choró,CE,813.4,5,0
302580,2303956,Q251350,Chorozinho,CE,278.55,86,1
302523,2304004,Q2027322,Coreaú,CE,775.13,28,1
302569,2304103,Q2021123,Crateús,CE,2982.81,80,1
302501,2304202,Q1004897,Crato,CE,1141.74,99,9
302551,2304236,Q1816979,Croatá,CE,696.12,11,1
302458,2304251,Q986510,Cruz,CE,330.51,54,2
302518,2304269,Q2027304,Deputado Irapuan Pinheiro,CE,470.04,20,0
302530,2304277,Q2021415,Ererê,CE,383.05,5,0
302548,2304285,Q2027112,Eusébio,CE,75.94,146,348
302472,2304301,Q2021026,Farias Brito,CE,503.77,13,3
302470,2304350,Q587627,Forquilha,CE,516.67,22,1
302588,2304400,Q43463,Fortaleza,CE,314.94,2619,2586
302471,2304459,Q2021064,Fortim,CE,280.85,32,0
302552,2304509,Q2027699,Frecheirinha,CE,181.84,7,1
302584,2304608,Q2021224,General Sampaio,CE,206.29,27,0
302623,2304657,Q2089608,Graça,CE,281.49,20,1
302481,2304707,Q2028672,Granja,CE,2696.13,47,1
302630,2304806,Q2026909,Granjeiro,CE,100.42,2,0
302524,2304905,Q2028083,Groaíras,CE,157.16,18,0
302489,2304954,Q2028404,Guaiúba,CE,268.01,19,3
302603,2305001,Q2027331,Guaraciaba do Norte,CE,606.4,36,2
302474,2305100,Q1761441,Guaramiranga,CE,59.5,10,0
302475,2305209,Q2347636,Hidrolândia,CE,967.79,5,1
302498,2305233,Q2135472,Horizonte,CE,159.84,34,6
302566,2305266,Q2027727,Ibaretama,CE,876.47,9,1
302515,2305308,Q2028027,Ibiapina,CE,413.74,38,1
302525,2305332,Q1984853,Ibicuitinga,CE,424.07,3,0
302607,2305357,Q734002,Icapuí,CE,422.57,14,1
302600,2305407,Q1807902,Icó,CE,1867.46,73,2
302558,2305506,Q931326,Iguatu,CE,1028.35,79,4
302582,2305605,Q284334,Independência,CE,3216.54,7,1
302561,2305654,Q2028044,Ipaporanga,CE,702.45,0,0
302533,2305704,Q1807006,Ipaumirim,CE,273.7,38,0
302590,2305803,Q2026922,Ipu,CE,629.16,41,1
302491,2305902,Q952731,Ipueiras,CE,1477.61,43,2
302492,2306009,Q2130759,Iracema,CE,807.8,12,1
302507,2306108,Q2028660,Irauçuba,CE,1461.17,1,1
302616,2306207,Q2006999,Itaiçaba,CE,210.33,14,0
302459,2306256,Q2013483,Itaitinga,CE,151.11,30,1
302632,2306306,Q2021022,Itapajé,CE,440.02,53,0
302579,2306405,Q1797985,Itapipoca,CE,1614.39,59,4
302490,2306504,Q684551,Itapiúna,CE,588.83,24,1
302517,2306553,Q2013979,Itarema,CE,719.36,32,1
302522,2306603,Q2014416,Itatira,CE,781.74,23,1
302556,2306702,Q2027316,Jaguaretama,CE,1757.28,23,1
302562,2306801,Q2028838,Jaguaribara,CE,667.58,9,0
302535,2306900,Q653619,Jaguaribe,CE,1878.47,96,1
302519,2307007,Q2013987,Jaguaruana,CE,866.38,6,1
302531,2307106,Q929116,Jardim,CE,552.11,44,1
302473,2307205,Q2028694,Jati,CE,360.92,12,0
302593,2307254,Q1367980,Jijoca de Jericoacoara,CE,206.5,9,7
302487,2307304,Q817227,Juazeiro do Norte,CE,254.46,104,9
302544,2307403,Q2027711,Jucás,CE,938.81,14,1
302611,2307502,Q664219,Lavras da Mangabeira,CE,947.16,46,1
