osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
331467,1600055,Q1754413,Serra do Navio,AP,7757.14,2,0
331477,1600105,Q586263,Amapá,AP,9235.63,2,0
331465,1600154,Q1772647,Pedra Branca do Amapari,AP,9493.55,1,0
331472,1600204,Q1754431,Calçoene,AP,14275.06,23,0
331466,1600212,Q1754422,Cutias,AP,2138.8,0,0
331479,1600238,Q1647054,Ferreira Gomes,AP,5042.4,9,1
331468,1600253,Q368933,Itaubal,AP,1740.93,0,0
331469,1600279,Q1117969,Laranjal do Jari,AP,30780.66,5,1
331473,1600303,Q180215,Macapá,AP,6371.13,89,88
331475,1600402,Q1800704,Mazagão,AP,13138.97,1,0
331471,1600501,Q906717,Oiapoque,AP,22675.56,26,18
331470,1600535,Q1772692,Porto Grande,AP,4402.19,8,2
331474,1600550,Q1772625,Pracuúba,AP,4962.12,4,0
331476,1600600,Q1994845,Santana,AP,1570.1,35,3
331478,1600709,Q1800762,Tartarugalzinho,AP,6683.27,15,0
331464,1600808,Q1772675,Vitória do Jari,AP,2477.53,0,0
